0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,0.0,0.0,0.0,-1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.279189390466644e-23,1.44417458263353e-08,-4.7976475528075605e-23,1.4298714662403196e-22,-1.57000000756897,3.401784253672863e-10,7.228791539034906e-09,6.3334892472878095e-24,3.0403675423863935e-07,3.040367542386361e-07,3.0403675423863856e-07,3.040367542386377e-07,0.0
-1.4227506535912076e-21,1.152445054249981e-07,1.7039919884829993e-22,1.1295627556848483e-21,-1.5700000604000082,2.714515696423262e-09,5.768549242651848e-08,6.452972538567954e-23,2.426200114210485e-06,2.426200114210469e-06,2.4262001142104804e-06,2.426200114210511e-06,0.0
-1.793327568014964e-21,3.879745797606397e-07,-5.178154588227106e-22,1.516019588564998e-21,-1.5700002033378628,9.136715348682293e-09,1.9420114745774125e-07,-2.925612432094662e-21,8.167885889697698e-06,8.167885889697647e-06,8.167885889697679e-06,8.167885889697688e-06,0.0
-5.022640679421984e-21,9.173339540025968e-07,-5.070618499629334e-21,1.2210535135528124e-20,-1.5700004807708434,2.159271701535266e-08,4.5917812635549596e-07,-1.865793444781535e-21,1.9312293768475875e-05,1.9312293768475584e-05,1.9312293768475787e-05,1.9312293768475655e-05,0.0
-1.105113298370845e-21,1.7871632056887086e-06,-7.611721710232018e-21,1.3480045182436219e-20,-1.5700009366275889,4.2030554107531175e-08,8.945970346191657e-07,2.9289291560085424e-22,3.762448854081512e-05,3.762448854081479e-05,3.762448854081504e-05,3.762448854081473e-05,0.0
-7.563739521184885e-21,3.0804444139730234e-06,-1.2905679059793657e-20,3.4357598116537953e-20,-1.570001614371791,7.234581433761388e-08,1.5420259764894034e-06,-4.630696411475868e-21,6.485146134680084e-05,6.485146134680018e-05,6.485146134680068e-05,6.485146134680026e-05,0.0
-1.1587146020642812e-20,4.879304373316573e-06,-1.7034978283766537e-20,4.996814047679841e-20,-1.5700025571721568,1.1474354413470892e-07,2.4424286123944774e-06,-3.3471910432760665e-21,0.00010272219733298095,0.00010272219733298003,0.00010272219733298076,0.00010272219733298022,0.0
-2.281033257176229e-20,7.265016930578666e-06,-2.6352368347163606e-20,8.549201319063037e-20,-1.5700038075567497,1.7099251731693892e-07,3.6365642321566036e-06,-3.685888485778696e-21,0.00015294772485428845,0.00015294772485428696,0.0001529477248542881,0.00015294772485428734,0.0
-3.0433629097050994e-20,1.0318006382601047e-05,-3.4611009222597775e-20,1.114404972484383e-19,-1.5700054076854946,2.4300741494077836e-07,5.1646780794704545e-06,-3.392857250340434e-21,0.00021722118700212827,0.00021722118700212632,0.00021722118700212778,0.0002172211870021268,0.0
-3.0857145570678144e-20,1.4117850290805817e-05,-4.414024552224878e-20,1.301257052175873e-19,-1.570007399278821,3.3269233842243074e-07,7.066586482418425e-06,6.598946105047699e-21,0.00029721790085907105,0.00029721790085906867,0.00029721790085907046,0.0002972179008590691,0.0
-7.024417761800311e-20,1.8743282424539796e-05,-6.701027782574757e-20,2.1197573506419912e-19,-1.5700098236203281,4.4194333289466395e-07,9.381676995122531e-06,-3.6383019655668313e-20,0.0003945954194639977,0.0003945954194639937,0.0003945954194639966,0.0003945954194639949,0.0
-9.480813308837782e-20,2.4272195710712465e-05,-9.242165461734349e-20,2.9968661624968883e-19,-1.570012721559572,5.726511704931263e-07,1.214890840150142e-05,-5.244720160950804e-20,0.0005109935939097387,0.0005109935939097333,0.0005109935939097374,0.000510993593909735,0.0
-8.125560593230901e-20,3.078164518478191e-05,-7.886974461002675e-20,2.6643428692452985e-19,-1.5700161335149705,7.267043882208185e-07,1.5406810582099768e-05,-7.40214232651386e-21,0.0006480346354690951,0.0006480346354690905,0.0006480346354690941,0.0006480346354690921,0.0
-5.3303518672917103e-20,3.834785094824856e-05,-7.463519467038917e-20,2.1548459149151346e-19,-1.5700200994768228,9.05992576380253e-07,1.9193484246308594e-05,1.0935835153995812e-20,0.0008073231778578665,0.0008073231778578625,0.0008073231778578657,0.0008073231778578634,0.0
-1.0581956140268372e-19,4.7046201126382906e-05,-1.0428181147696083e-19,3.2328501626849534e-19,-1.570024659010449,1.1124099150065427e-06,2.354660053385744e-05,3.4476136177105043e-20,0.000990446339502801,0.0009904463395027949,0.0009904463395027994,0.0009904463395027968,0.0
-1.0666659434993802e-19,5.695125612396736e-05,-1.4155230930472556e-19,3.8362482796170364e-19,-1.5700298498292005,1.3447865969211791e-06,2.8505042603438514e-05,-7.058460767505187e-20,0.001198973813136159,0.0011989738131361514,0.001198973813136157,0.001198973813136153,0.0
-1.5664153823794174e-19,6.813674818998384e-05,-1.983047098891085e-19,5.549620408613e-19,-1.5700357115631673,1.6069813473853513e-06,3.41045818197674e-05,-8.445620073644505e-20,0.0014344578566312445,0.0014344578566312337,0.0014344578566312417,0.001434457856631236,0.0
-2.36262635279846e-19,8.067558744142998e-05,-2.4828161788018027e-19,7.528773911190748e-19,-1.570042282379971,1.9006192018330048e-06,4.0381760768890686e-05,-1.0690809021518515e-19,0.0016984334198195858,0.0016984334198195715,0.001698433419819582,0.0016984334198195754,0.0
-3.057193369546986e-19,9.46398639122459e-05,-3.2536491531708035e-19,9.78589568358515e-19,-1.5700496000091695,2.2272888724046917e-06,4.737272029692403e-05,-1.588871719211843e-19,0.001992418187626239,0.0019924181876262203,0.001992418187626234,0.0019924181876262255,0.0
